Unnamed: 0,raw text,dataset,task,raw label,input text,sentiment label,text uid,keyword_1,keyword_2,keyword_3,topic_label
0,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.,ZuCo1,task1,0,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.,negative,0,decency,case,care,Biographies and Factual Knowledge
1,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",ZuCo1,task1,1,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,1,filmmaking,audiences,quality,Movie Reviews and Sentiment
2,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",ZuCo1,task1,-1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,2,bread,flaws,critics,Movie Reviews and Sentiment
3,"Slow, silly and unintentionally hilarious.",ZuCo1,task1,0,"Slow, silly and unintentionally hilarious.",negative,3,slow,hilarious,silly,Movie Reviews and Sentiment
4,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",ZuCo1,task1,-1,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,4,communion,unsatisfying,swallowing,Movie Reviews and Sentiment
5,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,ZuCo1,task1,1,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,5,excitement,fizz,musical,Movie Reviews and Sentiment
6,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,ZuCo1,task1,-1,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,6,violent,extremes,film,Movie Reviews and Sentiment
7,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",ZuCo1,task1,1,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,7,gosling,daniel,ryan,Movie Reviews and Sentiment
8,"If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.",ZuCo1,task1,0,"If Deuces Wild had been tweaked up a notch it would have become a camp adventure, one of those movies that's so bad it starts to become good.",negative,8,deuces,wild,movies,Movie Reviews and Sentiment
9,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.,ZuCo1,task1,0,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.,neutral,9,stagecrafts,production,film,Biographies and Factual Knowledge
10,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.",ZuCo1,task1,0,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.",negative,10,frida,kahlo,disaster,Movie Reviews and Sentiment
11,The film often achieves a mesmerizing poetry.,ZuCo1,task1,1,The film often achieves a mesmerizing poetry.,positive,11,poetry,film,mesmerizing,Movie Reviews and Sentiment
12,A work of astonishing delicacy and force.,ZuCo1,task1,1,A work of astonishing delicacy and force.,positive,12,delicacy,astonishing,force,Biographies and Factual Knowledge
13,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",ZuCo1,task1,-1,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,13,witless,laugh,plot,Movie Reviews and Sentiment
14,"For the most part, the ingredients are there.",ZuCo1,task1,0,"For the most part, the ingredients are there.",neutral,14,ingredients,,,Biographies and Factual Knowledge
15,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.",ZuCo1,task1,0,"But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.",positive,15,popcorn,matinee,fun,Movie Reviews and Sentiment
16,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",ZuCo1,task1,0,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",neutral,16,fatale,surprises,stylish,Movie Reviews and Sentiment
17,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",ZuCo1,task1,-1,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,17,scooby,cgi,worst,Movie Reviews and Sentiment
18,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",ZuCo1,task1,0,"This version moves beyond the original's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema's inability to stand in for true, lived experience.",neutral,18,cinema,film,nostalgia,Movie Reviews and Sentiment
19,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",ZuCo1,task1,-1,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,19,lopez,fiennes,workmanlike,Movie Reviews and Sentiment
20,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",ZuCo1,task1,1,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,20,movie,film,flick,Movie Reviews and Sentiment
21,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,ZuCo1,task1,-1,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative,21,screen,film,bad,Movie Reviews and Sentiment
22,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,ZuCo1,task1,0,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,negative,22,footnotes,speck,relevance,Biographies and Factual Knowledge
23,Another Best of the Year selection.,ZuCo1,task1,1,Another Best of the Year selection.,positive,23,best,selection,year,Movie Reviews and Sentiment
24,It's all a rather shapeless good time...,ZuCo1,task1,0,It's all a rather shapeless good time...,positive,24,shapeless,good,time,Movie Reviews and Sentiment
25,"Same song, second verse, coulda been better, but it coulda been worse.",ZuCo1,task1,0,"Same song, second verse, coulda been better, but it coulda been worse.",negative,25,song,verse,coulda,Movie Reviews and Sentiment
26,I love the robust middle of this picture.,ZuCo1,task1,1,I love the robust middle of this picture.,positive,26,middle,robust,picture,Biographies and Factual Knowledge
27,"That's not vintage Spielberg and that, finally, is minimally satisfying.",ZuCo1,task1,0,"That's not vintage Spielberg and that, finally, is minimally satisfying.",negative,27,spielberg,satisfying,vintage,Movie Reviews and Sentiment
28,The soundtrack alone is worth the price of admission.,ZuCo1,task1,1,The soundtrack alone is worth the price of admission.,positive,28,soundtrack,worth,admission,Movie Reviews and Sentiment
29,Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.,ZuCo1,task1,0,Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it's a pleasurable trifle.,neutral,29,martha,trimming,cut,Biographies and Factual Knowledge
30,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",ZuCo1,task1,-1,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",negative,30,dahmer,punishment,hours,Movie Reviews and Sentiment
31,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",ZuCo1,task1,1,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,31,sade,auteuil,seductive,Movie Reviews and Sentiment
32,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it.",ZuCo1,task1,0,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it.",positive,32,anime,movie,fanatical,Movie Reviews and Sentiment
33,"The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.",ZuCo1,task1,0,"The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.",positive,33,halloween,ring,entertainment,Movie Reviews and Sentiment
34,"Beautifully observed, miraculously unsentimental comedy-drama.",ZuCo1,task1,1,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,34,comedy,unsentimental,drama,Movie Reviews and Sentiment
35,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",ZuCo1,task1,1,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive,35,parent,fontaine,father,Movie Reviews and Sentiment
36,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",ZuCo1,task1,-1,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",neutral,36,hannibal,hopkins,harris,Movie Reviews and Sentiment
37,Bullock's complete lack of focus and ability quickly derails the film.,ZuCo1,task1,-1,Bullock's complete lack of focus and ability quickly derails the film.,negative,37,bullock,derails,focus,Movie Reviews and Sentiment
38,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",ZuCo1,task1,-1,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",negative,38,lumpy,paws,plotline,Movie Reviews and Sentiment
39,Crush could be the worst film a man has made about women since Valley of the Dolls.,ZuCo1,task1,-1,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative,39,crush,film,worst,Movie Reviews and Sentiment
40,"Reassuring, retro uplifter.",ZuCo1,task1,1,"Reassuring, retro uplifter.",positive,40,uplifter,reassuring,retro,Movie Reviews and Sentiment
41,Flaccid drama and exasperatingly slow journey.,ZuCo1,task1,-1,Flaccid drama and exasperatingly slow journey.,negative,41,journey,drama,flaccid,Movie Reviews and Sentiment
42,The Movie will reach far beyond its core demographic.,ZuCo1,task1,1,The Movie will reach far beyond its core demographic.,positive,42,demographic,movie,reach,Movie Reviews and Sentiment
43,How did it ever get made?,ZuCo1,task1,-1,How did it ever get made?,neutral,43,did,,,Movie Reviews and Sentiment
44,I like the new footage and still love the old stuff.,ZuCo1,task1,1,I like the new footage and still love the old stuff.,positive,44,footage,new,old,Movie Reviews and Sentiment
45,"It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.",ZuCo1,task1,0,"It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.",negative,45,sadism,masochism,audience,Movie Reviews and Sentiment
46,Could The Country Bears really be as bad as its trailers?,ZuCo1,task1,-1,Could The Country Bears really be as bad as its trailers?,negative,46,bears,trailers,bad,Movie Reviews and Sentiment
47,"At times, the movie looks genuinely pretty.",ZuCo1,task1,1,"At times, the movie looks genuinely pretty.",positive,47,movie,pretty,looks,Movie Reviews and Sentiment
48,It depends on how well flatulence gags fit into your holiday concept.,ZuCo1,task1,0,It depends on how well flatulence gags fit into your holiday concept.,neutral,48,flatulence,gags,holiday,Movie Reviews and Sentiment
49,"The stupidest, most insulting movie of 2002's first quarter.",ZuCo1,task1,-1,"The stupidest, most insulting movie of 2002's first quarter.",negative,49,movie,stupidest,2002,Movie Reviews and Sentiment
50,The film seems a dead weight.,ZuCo1,task1,-1,The film seems a dead weight.,negative,50,film,dead,weight,Movie Reviews and Sentiment
51,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",ZuCo1,task1,1,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",positive,51,bickle,attal,travis,Movie Reviews and Sentiment
52,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",ZuCo1,task1,-1,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",negative,52,repulsive,minutes,10,Movie Reviews and Sentiment
53,"A lousy movie that's not merely unwatchable, but also unlistenable.",ZuCo1,task1,-1,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative,53,unwatchable,unlistenable,movie,Movie Reviews and Sentiment
54,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,ZuCo1,task1,1,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive,54,happiness,masterpiece,films,Movie Reviews and Sentiment
55,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",ZuCo1,task1,1,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",positive,55,pianist,szpilman,wladyslaw,Movie Reviews and Sentiment
56,"But here's the real damn: It isn't funny, either.",ZuCo1,task1,-1,"But here's the real damn: It isn't funny, either.",negative,56,funny,damn,isn,Biographies and Factual Knowledge
57,"Qutting may be a flawed film, but it is nothing if not sincere.",ZuCo1,task1,0,"Qutting may be a flawed film, but it is nothing if not sincere.",negative,57,qutting,film,flawed,Movie Reviews and Sentiment
58,It's a fanboy `what if?',ZuCo1,task1,0,It's a fanboy `what if?',neutral,58,fanboy,,,Movie Reviews and Sentiment
59,... something appears to have been lost in the translation this time.,ZuCo1,task1,-1,... something appears to have been lost in the translation this time.,negative,59,translation,appears,lost,Movie Reviews and Sentiment
60,"Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.",ZuCo1,task1,0,"Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.",negative,60,documentary,cinematic,intellectual,Movie Reviews and Sentiment
